"distribuidos","distribuídos"
"distribuiçao","distribuição"
"distrofica","distrófica"
"distroficas","distróficas"
"distrofico","distrófico"
"disturbios","distúrbios"
"diverticulo","divertículo"
"diverticulos","divertículos"
"divisao","divisão"
"divisoes","divisões"
"dl","diâmetro longitudinal"
"dormencia","dormência"
"douglas","Douglas"
"drenaveis","drenáveis"
"dt","diâmetro transversal"
"duplicaçao","duplicação"
"duvida","dúvida"
"duvidas","dúvidas"
"eb","eixo bipolar"
"ec","eixo curto"
"ecogeneas","ecogéneas"
"ecogeneo","ecogéneo"
"ecogenica","ecogénica"
"ecogenicas","ecogénicas"
"ecogenico","ecogénico"
"ecogenicos","ecogénicos"
"ecografica","ecográfica"
"ecograficas","ecográficas"
"ecografico","ecográfico"
"ecograficos","ecográficos"
"ectopica","ectópica"
"ectopicas","ectópicas"
"edentula","edêntula"
"edentulas","edêntulas"
"edentulaçao","edentulação"
"edentulo","edêntulo"
"edentulos","edêntulos"
"efusoes","efusões"
"el","eixo longitudinal"
"elevaçao","elevação"
"eliminaçao","eliminação"
"emergencia","emergência"
"emergencias","emergências"
"eminencia","eminência"
"emissao","emissão"
"encefalica","encefálica"
"encefalicas","encefálicas"
"encefalico","encefálico"
"encefalo","encéfalo"
"endobronquica","endobrônquica"
"endocavitaria","endocavitária"
"endodontico","endodôntico"
"endometrio","endométrio"
"endoscopico","endoscópico"
"enquadraveis","enquadráveis"
"entao","então"
"entesofitarias","entesofitárias"
"entesofitario","entesofitário"
"entesofito","entesófito"
"entesofitos","entesófitos"
"entesopatica","entesopática"
"entesopaticas","entesopáticas"
"entesopatico","entesopático"
"entesopaticos","entesopáticos"
"epicondilo","epicôndilo"
"epididimarios","epididimários"
"epididimo","epidídimo"
"epididimos","epidídimos"
"epifise","epífise"
"epigastrica","epigástrica"
"episodio","episódio"
"episodios","episódios"
"erosao","erosão"
"erosoes","erosões"
"escalao","escalão"
"escavaçao","escavação"
"esclerotica","esclerótica"
"escleroticas","escleróticas"
"esclerotico","esclerótico"
"escleroticos","escleróticos"
"escoliotica","escoliótica"
"escoliotico","escoliótico"
"escolioticos","escolióticos"
"esfincter","esfíncter"
"esfincteres","esfíncteres"
"esofagica","esofágica"
"esofagico","esofágico"
"esofago","esófago"
"esplenica","esplénica"
"esplenico","esplénico"
"esplenicos","esplénicos"
"espondilodiscartrosicas","espondilodiscartrósicas"
"espontanea","espontânea"
"espontaneas","espontâneas"
"espontaneo","espontâneo"
"esporao","esporão"
"esporoes","esporões"
"esqueleticas","esqueléticas"
"esqueletico","esquelético"
"esqueleticos","esqueléticos"
"estao","estão"
"estatica","estática"
"estaveis","estáveis"
"estavel","estável"
"esteatosica","esteatósica"
"estenoticas","estenóticas"
"estenotico","estenótico"
"estenoticos","estenóticos"
"estomago","estômago"
"etaria","etária"
"etario","etário"
"eventraçao","eventração"
"evidencia","evidência"
"evoluida","evoluída"
"evoluçao","evolução"
"exceçao","exceção"
"excisao","excisão"
"excluida","excluída"
"excluido","excluído"
"excluimos","excluímos"
"exclusao","exclusão"
"excreçao","excreção"
"exerese","exérese"
"existencia","existência"
"exofitica","exofítica"
"exofitico","exofítico"
"exofiticos","exofíticos"
"expansao","expansão"
"exposiçao","exposição"
"expressao","expressão"
"expulsao","expulsão"
"extensao","extensão"
"extra-hepaticas","extra-hepáticas"
"extrahepaticas","extrahepáticas"
"extraçao","extração"
"extrinseca","extrínseca"
"extrinsecos","extrínsecos"
"extrusao","extrusão"
"extrusoes","extrusões"
"facetaria","facetária"
"facetarias","facetárias"
"facetario","facetário"
"facetarios","facetários"
"facil","fácil"
"falangica","falângica"
"falencia","falência"
"faringea","faríngea"
"faringeo","faríngeo"
"fasceite","fasceíte"
"fascia","fáscia"
"fasecas","Fazekas"
"favoravel","favorável"
"femur","fémur"
"femures","fémures"
"fenestraçao","fenestração"
"fenomeno","fenómeno"
"fenomenos","fenómenos"
"fibrilaçao","fibrilação"
"fibroatelectasica","fibroatelectásica"
"fibroatelectasicas","fibroatelectásicas"
"fibrocisticas","fibrocísticas"
"fibrocistico","fibrocístico"
"fibroquistica","fibroquística"
"fibroquisticas","fibroquísticas"
"fibrotica","fibrótica"
"fibroticas","fibróticas"
"fibrotico","fibrótico"
"fibroticos","fibróticos"
"figado","fígado"
"fisico","físico"
"fisiologica","fisiológica"
"fisiologicas","fisiológicas"
"fisiologico","fisiológico"
"fisiologicos","fisiológicos"
"fissuraçao","fissuração"
"fissuraçoes","fissurações"
"fistula","fístula"
"fixaçao","fixação"
"flair","FLAIR"
"flebolitos","flebólitos"
"flexao","flexão"
"fluxometricas","fluxométricas"
"focalizaçao","focalização"
"foliculo","folículo"
"foliculos","folículos"
"formaçao","formação"
"formaçoes","formações"
"fovea","fóvea"
"fragmentaçao","fragmentação"
"frequencia","frequência"
"fundica","fúndica"
"fundico","fúndico"
"fungica","fúngica"
"fungicos","fúngicos"
"funçao","função"
"fusao","fusão"
"gadolinio","gadolínio"
"ganglio","gânglio"
